Neighborhood,Latitude,Longitude
Centro,-3.123989999999935,-60.02062999999998
Nossa Senhora Aparecida,-3.1278299999999604,-60.02899999999994
Presidente Vargas,-3.117879999999957,-60.02899999999994
Praça 14 de Janeiro,-3.122519999999952,-60.01423999999997
Cachoeirinha,-3.1246099999999615,-60.00390999999996
São Raimundo,-3.121689999999944,-60.037229999999965
Glória,-3.1212699999999245,-60.036689999999965
Santo Antônio,-3.115379999999959,-60.039589999999976
Vila da Prata,-3.1047999999999547,-60.04708999999997
Compensa,-3.101609999999937,-60.05681999999996
São Jorge,-3.1082699999999477,-60.035559999999975
Santo Agostinho,-3.094569999999976,-60.064869999999985
Nova Esperança,-3.079779999999971,-60.06052999999997
Lírio do Vale,-3.075309999999945,-60.064329999999984
Planalto,-3.064839999999947,-60.054149999999936
Alvorada,-3.0807099999999537,-60.05520999999993
Redenção,-3.0594599999999446,-60.044059999999945
Da Paz,-3.0577199999999607,-60.02715999999998
Raiz,-3.1252499999999372,-59.99694999999997
São Francisco,-3.1120599999999286,-60.00491999999997
Petrópolis,-3.1086499999999546,-59.993029999999976
Japiim,-3.1109499999999457,-59.98094999999995
Coroado,-3.0838699999999335,-59.97914999999995
Educandos,-3.142729999999972,-60.00936999999993
Santa Luzia,-3.139059999999972,-60.00440999999995
Morro da Liberdade,-3.136639999999943,-59.99986999999999
Betânia,-3.134869999999978,-59.998429999999985
Colônia Oliveira Machado,-3.148779999999931,-60.002749999999935
São Lázaro,-3.1388899999999467,-59.99411999999995
Crespo,-3.1304199999999582,-59.991349999999954
Vila Buriti,-3.1372899999999504,-59.95392999999996
Distrito Industrial I,-3.1134399999999687,-59.95333999999997
Distrito Industrial II,-3.0557999999999765,-59.90359999999998
Mauazinho,-3.1186399999999708,-59.93370999999996
Colônia Antônio Aleixo,-3.0951799999999707,-59.905489999999986
Puraquequara,-3.0467599999999493,-59.86424999999997
Dom Pedro,-3.0857899999999745,-60.04078999999996
Flores,-3.0519299999999703,-59.99317999999994
Parque 10 de Novembro,-3.0736799999999675,-60.00145999999995
Aleixo,-3.09621999999996,-60.002629999999954
Adrianópolis,-3.0990699999999265,-60.009709999999984
Nossa Senhora das Graças,-3.1072899999999777,-60.01956999999999
São Geraldo,-3.108189999999979,-60.02474999999998
Chapada,-3.093409999999949,-60.03135999999995
Colônia Santo Antônio,-3.029679999999928,-60.003589999999974
Novo Israel,-3.0262899999999604,-60.01249999999993
Colônia Terra Nova,-3.0123199999999315,-60.00586999999996
Santa Etelvina,-2.984869999999944,-60.00959999999998
Monte das Oliveiras,-3.010409999999979,-59.99911999999995
Cidade Nova,-3.0301299999999287,-59.97115999999994
Novo Aleixo,-3.0573099999999727,-59.97372999999993
Cidade de Deus,-3.0206199999999512,-59.95473999999996
Nova Cidade,-3.000259999999969,-59.98114999999996
Ponta Negra,-3.075909999999965,-60.08656999999994
Tarumã,-3.00028999999995,-60.04923999999994
Tarumã-Açu,-2.983789999999942,-60.06930999999997
Armando Mendes,-3.096469999999954,-59.94542999999999
Zumbi dos Palmares,-3.0803999999999405,-59.940519999999935
São José Operário,-3.0656699999999546,-59.93850999999995
Tancredo Neves,-3.050769999999943,-59.94500999999997
Jorge Teixeira,-3.028389999999945,-59.92835999999994
Gilberto Mestrinho,-3.0704599999999687,-59.92512999999997
Lago Azul,-2.9470699999999397,-60.02601999999996
